# Wavelength(microns)  (Rp/Rs)^2  Error
4.915231e+01 2.196649e-02 1.482110e-01
4.914904e+01 2.202678e-02 1.484142e-01
4.914576e+01 2.236166e-02 1.495381e-01
4.914248e+01 2.250835e-02 1.500278e-01
4.913921e+01 2.259169e-02 1.503053e-01
4.913593e+01 2.250528e-02 1.500176e-01
4.913266e+01 2.245658e-02 1.498552e-01
4.912938e+01 2.214282e-02 1.488046e-01
4.912611e+01 2.207449e-02 1.485749e-01
4.912283e+01 2.232181e-02 1.494049e-01
4.911956e+01 2.249367e-02 1.499789e-01
4.911628e+01 2.243488e-02 1.497828e-01
4.911301e+01 2.205857e-02 1.485213e-01
4.910973e+01 2.227613e-02 1.492519e-01
4.910646e+01 2.224850e-02 1.491593e-01
4.910319e+01 2.216126e-02 1.488666e-01
4.909991e+01 2.181800e-02 1.477092e-01
4.909664e+01 2.181613e-02 1.477029e-01
4.909337e+01 2.184060e-02 1.477856e-01
4.909009e+01 2.190560e-02 1.480054e-01
4.908682e+01 2.204996e-02 1.484923e-01
4.908355e+01 2.190697e-02 1.480100e-01
4.908028e+01 2.187630e-02 1.479064e-01
4.907701e+01 2.194636e-02 1.481430e-01
4.907373e+01 2.200237e-02 1.483320e-01
4.907046e+01 2.241797e-02 1.497263e-01
4.906719e+01 2.217768e-02 1.489217e-01
4.906392e+01 2.190053e-02 1.479883e-01
4.906065e+01 2.189815e-02 1.479802e-01
4.905738e+01 2.192959e-02 1.480864e-01
4.905411e+01 2.195235e-02 1.481632e-01
4.905084e+01 2.208565e-02 1.486124e-01
4.904757e+01 2.215871e-02 1.488580e-01
4.904430e+01 2.218647e-02 1.489512e-01
4.904103e+01 2.216617e-02 1.488831e-01
4.903776e+01 2.207894e-02 1.485899e-01
4.903449e+01 2.206019e-02 1.485267e-01
4.903122e+01 2.207335e-02 1.485710e-01
4.902796e+01 2.202902e-02 1.484217e-01
4.902469e+01 2.208088e-02 1.485964e-01
4.902142e+01 2.231475e-02 1.493812e-01
4.901815e+01 2.354791e-02 1.534533e-01
4.901488e+01 2.345339e-02 1.531450e-01
4.901162e+01 2.228951e-02 1.492967e-01
4.900835e+01 2.185456e-02 1.478329e-01
4.900508e+01 2.204486e-02 1.484751e-01
4.900181e+01 2.220953e-02 1.490286e-01
4.899855e+01 2.229214e-02 1.493055e-01
4.899528e+01 2.240256e-02 1.496748e-01
4.899202e+01 2.221111e-02 1.490339e-01
4.898875e+01 2.197258e-02 1.482315e-01
4.898548e+01 2.180617e-02 1.476691e-01
4.898222e+01 2.183258e-02 1.477585e-01
4.897895e+01 2.186982e-02 1.478845e-01
4.897569e+01 2.213296e-02 1.487715e-01
4.897242e+01 2.218720e-02 1.489537e-01
4.896916e+01 2.216539e-02 1.488805e-01
4.896589e+01 2.246436e-02 1.498812e-01
4.896263e+01 2.243582e-02 1.497859e-01
4.895937e+01 2.232075e-02 1.494013e-01
4.895610e+01 2.228309e-02 1.492752e-01
4.895284e+01 2.228163e-02 1.492703e-01
4.894958e+01 2.369735e-02 1.539394e-01
4.894631e+01 2.378222e-02 1.542149e-01
4.894305e+01 2.245310e-02 1.498436e-01
4.893979e+01 2.208279e-02 1.486028e-01
4.893652e+01 2.197406e-02 1.482365e-01
4.893326e+01 2.200205e-02 1.483309e-01
4.893000e+01 2.188247e-02 1.479273e-01
4.892674e+01 2.189730e-02 1.479774e-01
4.892348e+01 2.194368e-02 1.481340e-01
4.892022e+01 2.197615e-02 1.482435e-01
4.891695e+01 2.201141e-02 1.483624e-01
4.891369e+01 2.208995e-02 1.486269e-01
4.891043e+01 2.225601e-02 1.491845e-01
4.890717e+01 2.336783e-02 1.528654e-01
4.890391e+01 2.366854e-02 1.538458e-01
4.890065e+01 2.326967e-02 1.525440e-01
4.889739e+01 2.223515e-02 1.491146e-01
4.889413e+01 2.213276e-02 1.487708e-01
4.889087e+01 2.218907e-02 1.489600e-01
4.888761e+01 2.230744e-02 1.493568e-01
4.888436e+01 2.388877e-02 1.545599e-01
4.888110e+01 2.394297e-02 1.547352e-01
4.887784e+01 2.288671e-02 1.512835e-01
4.887458e+01 2.292904e-02 1.514234e-01
4.887132e+01 2.275187e-02 1.508372e-01
4.886806e+01 2.225626e-02 1.491853e-01
4.886481e+01 2.215779e-02 1.488549e-01
4.886155e+01 2.213753e-02 1.487868e-01
4.885829e+01 2.209635e-02 1.486484e-01
4.885503e+01 2.204964e-02 1.484912e-01
4.885178e+01 2.211722e-02 1.487186e-01
4.884852e+01 2.227657e-02 1.492534e-01
4.884526e+01 2.226504e-02 1.492147e-01
4.884201e+01 2.219965e-02 1.489955e-01
4.883875e+01 2.200131e-02 1.483284e-01
4.883550e+01 2.239082e-02 1.496356e-01
4.883224e+01 2.223012e-02 1.490977e-01
4.882899e+01 2.215092e-02 1.488318e-01
4.882573e+01 2.213340e-02 1.487730e-01
4.882248e+01 2.212730e-02 1.487525e-01
4.881922e+01 2.213146e-02 1.487665e-01
4.881597e+01 2.259235e-02 1.503075e-01
4.881271e+01 2.287667e-02 1.512503e-01
4.880946e+01 2.302930e-02 1.517541e-01
4.880621e+01 2.271853e-02 1.507267e-01
4.880295e+01 2.224899e-02 1.491609e-01
4.879970e+01 2.218351e-02 1.489413e-01
4.879645e+01 2.217454e-02 1.489112e-01
4.879319e+01 2.201901e-02 1.483880e-01
4.878994e+01 2.194691e-02 1.481449e-01
4.878669e+01 2.226489e-02 1.492143e-01
4.878344e+01 2.230683e-02 1.493547e-01
4.878018e+01 2.332050e-02 1.527105e-01
4.877693e+01 2.329355e-02 1.526222e-01
4.877368e+01 2.220886e-02 1.490264e-01
4.877043e+01 2.195910e-02 1.481860e-01
4.876718e+01 2.225849e-02 1.491928e-01
4.876393e+01 2.225997e-02 1.491978e-01
4.876068e+01 2.211485e-02 1.487106e-01
4.875743e+01 2.214022e-02 1.487959e-01
4.875418e+01 2.419462e-02 1.555462e-01
4.875093e+01 2.413881e-02 1.553667e-01
4.874768e+01 2.341170e-02 1.530088e-01
4.874443e+01 2.377699e-02 1.541979e-01
4.874118e+01 2.405425e-02 1.550943e-01
4.873793e+01 2.395941e-02 1.547883e-01
4.873468e+01 2.288994e-02 1.512942e-01
4.873143e+01 2.257529e-02 1.502508e-01
4.872818e+01 2.241851e-02 1.497281e-01
4.872493e+01 2.240654e-02 1.496881e-01
4.872168e+01 2.234904e-02 1.494960e-01
4.871844e+01 2.246947e-02 1.498982e-01
4.871519e+01 2.230118e-02 1.493358e-01
4.871194e+01 2.214229e-02 1.488029e-01
4.870869e+01 2.266426e-02 1.505465e-01
4.870545e+01 2.315848e-02 1.521791e-01
4.870220e+01 2.264266e-02 1.504748e-01
4.869895e+01 2.207484e-02 1.485761e-01
4.869571e+01 2.198195e-02 1.482631e-01
4.869246e+01 2.197732e-02 1.482475e-01
4.868922e+01 2.214530e-02 1.488130e-01
4.868597e+01 2.223883e-02 1.491269e-01
4.868272e+01 2.224858e-02 1.491596e-01
4.867948e+01 2.217570e-02 1.489151e-01
4.867623e+01 2.228770e-02 1.492906e-01
4.867299e+01 2.228451e-02 1.492800e-01
4.866974e+01 2.224756e-02 1.491562e-01
4.866650e+01 2.190840e-02 1.480149e-01
4.866326e+01 2.204725e-02 1.484832e-01
4.866001e+01 2.225756e-02 1.491897e-01
4.865677e+01 2.227904e-02 1.492616e-01
4.865352e+01 2.222597e-02 1.490838e-01
4.865028e+01 2.228248e-02 1.492732e-01
4.864704e+01 2.221957e-02 1.490623e-01
4.864379e+01 2.213623e-02 1.487825e-01
4.864055e+01 2.221790e-02 1.490567e-01
4.863731e+01 2.233655e-02 1.494542e-01
4.863407e+01 2.231487e-02 1.493816e-01
